id,username,total_pr_cnt,repository_name,is_closed
MDExOlB1bGxSZXF1ZXN0MjU5ODk5OA==,martinrehfeld,41,digestive-functors,True
MDExOlB1bGxSZXF1ZXN0MjM3MTgwMw==,martinrehfeld,41,elli,True
MDExOlB1bGxSZXF1ZXN0MjI2MTczMQ==,martinrehfeld,41,elli,True
MDExOlB1bGxSZXF1ZXN0MjIzMjE3MQ==,martinrehfeld,41,elli,True
MDExOlB1bGxSZXF1ZXN0MjIwMjg0Mg==,martinrehfeld,41,dinerl,True
MDExOlB1bGxSZXF1ZXN0MjIwMjc3OQ==,martinrehfeld,41,dinerl,True
MDExOlB1bGxSZXF1ZXN0MjE2MjE3NQ==,martinrehfeld,41,glacieruploader,True
MDExOlB1bGxSZXF1ZXN0MTg0MDE1MA==,martinrehfeld,41,github.bathrobe,True
MDExOlB1bGxSZXF1ZXN0MTMzMDA5Mw==,martinrehfeld,41,euruko2012.github.com,True
MDExOlB1bGxSZXF1ZXN0MTEyNTc2OQ==,martinrehfeld,41,heroku-buildpack-multi,True
MDExOlB1bGxSZXF1ZXN0MTEyNTc1OA==,martinrehfeld,41,heroku-buildpack-multi,True
MDExOlB1bGxSZXF1ZXN0MTAyNzY0MQ==,martinrehfeld,41,rubymetrics-plugin,True
MDExOlB1bGxSZXF1ZXN0OTc4NjA3,martinrehfeld,41,call-for-proposals,False
MDExOlB1bGxSZXF1ZXN0MzY0OTI5,martinrehfeld,41,scalarium,True
MDExOlB1bGxSZXF1ZXN0MzM0ODQ5,martinrehfeld,41,daemon-kit,True
MDExOlB1bGxSZXF1ZXN0MzIyNTc0,martinrehfeld,41,bunny,True
MDExOlB1bGxSZXF1ZXN0MzIyNDI5,martinrehfeld,41,bunny,True
MDExOlB1bGxSZXF1ZXN0MjE1OTg4,martinrehfeld,41,travis-ci,True
MDExOlB1bGxSZXF1ZXN0MTcyMjUw,martinrehfeld,41,sprockets,True
MDExOlB1bGxSZXF1ZXN0MTI4ODQ4,martinrehfeld,41,em-http-request,True
MDExOlB1bGxSZXF1ZXN0MTE1NjAz,martinrehfeld,41,em-http-request,True
